event_number, px, py, pz, E
1 -1.63015 0.242347 0.0418222 1.6486
1 -1.17258 0.165402 -0.084053 1.18717
1 4.03469 -4.95904 -0.412093 6.40629
1 0.925626 -1.04147 -0.0729979 1.39527
1 -8.29412 5.45118 2.77807 10.3066
1 -0.429344 0.266928 0.170462 0.533521
1 1.29135 -7.43623 -0.0347159 7.5476
1 0.814558 -4.10442 -0.0255065 4.18454
1 -2.26246 -3.54498 0.294333 4.21572
1 -1.75827 -2.93477 0.165389 3.42516
2 6.39271 -4.94804 1.22693 8.17651
2 5.56947 -4.21737 0.957864 7.05143
2 -7.50326 8.561 3.30481 11.8538
2 -4.94135 5.71708 2.29473 7.89732
2 9.6493 -8.81504 0.842371 13.0967
2 4.017 -3.5767 0.293813 5.3866
2 2.9342 7.53751 0.761422 8.12424
2 2.73994 7.35635 0.672503 7.87879
2 -5.84903 3.65569 1.24033 7.00811
2 -1.74329 1.00541 0.346797 2.0421
3 -3.20906 0.904618 -0.801302 3.42906
3 -2.14261 0.496869 -0.490438 2.25348
3 10.7542 -7.52163 3.85517 13.6781
3 2.14857 -1.54257 0.830345 2.77225
3 -4.13916 -12.8668 2.55085 13.7548
3 -1.81574 -5.87981 1.21803 6.27318
3 -1.41817 3.24476 0.27551 3.55185
3 -1.03984 2.67294 0.253344 2.87925
3 -0.382765 -1.26337 0.197477 1.33477
3 -0.311925 -0.7947 0.0428075 0.854797
4 -6.23077 -11.4245 -1.44166 13.0928
4 -1.45737 -2.74567 -0.288281 3.12182
4 8.49058 2.6066 -2.7017 9.2835
4 3.07825 0.890145 -0.910299 3.33116
4 -1.71972 -1.25413 0.205739 2.13836
4 -1.00669 -0.61633 0.0819256 1.18321
4 -5.89943 0.499157 0.235984 5.92521
4 -5.89652 0.548165 0.110233 5.92297
4 -0.669475 7.49991 -1.40199 7.65914
4 -0.45469 5.11246 -1.06924 5.24283
5 4.31633 0.736396 -1.25638 4.55538
5 2.06371 0.442507 -0.575627 2.18771
5 3.35529 3.88569 0.629914 5.17237
5 0.021563 0.0422244 -0.000458341 0.0474138
5 -5.11318 9.4204 3.16221 11.1753
5 -3.76353 6.90255 2.20014 8.16395
5 -12.7907 5.82065 -3.64779 14.5186
5 -1.53546 0.750161 -0.448706 1.76684
5 -0.914126 1.71861 0.314812 1.97189
5 -0.535529 0.820523 0.197837 0.999595
6 -8.74394 -1.26534 0.205778 8.83742
6 -2.4825 -0.372116 0.129326 2.51357
6 -3.48057 3.83596 0.0192049 5.1797
6 -3.22872 3.68722 0.116894 4.90244
6 -9.03517 3.25941 2.09251 9.83039
6 -2.28431 0.889101 0.503261 2.50236
6 7.15056 6.46311 0.704753 9.66431
6 3.86139 3.37739 0.323037 5.14018
6 -1.92656 -0.107167 0.452336 1.98185
6 -1.32699 -0.100524 0.201096 1.3459
7 -7.55999 15.0167 3.19914 17.114
7 -0.748539 1.40503 0.283344 1.617
7 -5.1701 10.9449 3.39836 12.5726
7 -0.508187 0.991954 0.292336 1.15225
7 -3.17874 3.12113 0.283887 4.4639
7 -1.53515 1.58571 0.063766 2.20799
7 -2.39716 -4.84832 -0.847723 5.47459
7 -2.17899 -4.66567 -0.872819 5.22286
7 6.50191 3.59795 1.5119 7.58327
7 1.20276 0.600754 0.282587 1.37383
8 -1.00269 5.13649 1.13343 5.35477
8 -0.0748471 0.277424 0.0376329 0.289797
8 13.7428 5.37697 4.25357 15.3581
8 1.19521 0.425145 0.365413 1.32016
8 8.54079 -2.26851 -1.93764 9.04686
8 0.868876 -0.274266 -0.188996 0.930531
8 -3.92938 -5.63162 -0.280942 6.87271
8 -3.94716 -5.43913 -0.227274 6.72427
8 6.61511 -7.38133 -1.66371 10.0505
8 6.49014 -7.35532 -1.53416 9.92856
9 1.93005 5.1507 -1.51279 5.70467
9 1.16176 3.29469 -1.04739 3.64715
9 -3.08831 -9.96266 1.12223 10.4905
9 -1.16197 -3.8066 0.510363 4.01259
9 -7.11688 7.69503 -0.568667 10.497
9 -0.0226255 0.0288855 -0.00947868 0.0378964
9 9.42438 1.2644 -2.29518 9.7819
9 1.72064 0.257742 -0.367444 1.77822
9 -4.19489 -1.22446 -0.500455 4.3985
9 -1.45398 -0.507703 -0.171584 1.5496
10 7.27205 -0.962695 -0.674452 7.36644
10 1.05739 -0.192076 -0.0981984 1.07917
10 3.36838 -9.65751 -0.0953596 10.2285
10 1.5824 -4.3059 -0.0915874 4.58837
10 -11.9215 12.2982 4.79192 17.7857
10 -0.937612 1.02028 0.37675 1.43598
10 15.5819 -7.31272 0.310614 17.2153
10 2.37384 -1.08288 0.0914278 2.61077
10 2.91155 -5.14663 -1.61598 6.12995
10 1.1065 -2.07165 -0.707565 2.4529
11 6.59089 -8.72107 0.035364 10.9315
11 1.50119 -1.92627 0.0604138 2.4429
11 -11.7374 -8.36599 -2.70236 14.6649
11 -0.56783 -0.381405 -0.151154 0.700535
11 -0.660139 8.67587 -1.00963 8.75933
11 -0.157695 2.84482 -0.280002 2.86292
11 7.20627 -0.900961 -1.21783 7.36377
11 0.808267 -0.0566792 -0.126132 0.820011
11 -4.97397 10.9908 3.5112 12.5645
11 -0.814216 1.69423 0.514772 1.94894
12 2.29478 -13.3989 -0.0933869 13.5943
12 0.835478 -5.16219 -0.104565 5.23041
12 -7.8106 -1.65322 0.833836 8.02707
12 -5.30968 -1.21392 0.500219 5.4696
12 2.33113 -7.6587 -1.25742 8.10376
12 1.00828 -3.1217 -0.582322 3.33178
12 6.45347 12.4182 0.0546825 13.9951
12 2.00813 3.78206 -0.0476161 4.28238
12 2.68893 -0.84857 0.476463 2.85963
12 0.382544 -0.174152 0.0816872 0.428185
13 -3.26964 3.37623 -0.305772 4.70988
13 -0.113972 0.0930406 0.00702147 0.147294
13 -14.1388 4.86956 2.41085 15.1469
13 -0.758923 0.28391 0.154084 0.824809
13 13.0269 -2.68516 3.00081 13.6351
13 2.32662 -0.45255 0.586601 2.44173
13 2.45584 3.00772 1.10738 4.0378
13 2.16705 2.6356 0.84272 3.51463
13 -1.73736 -0.0551576 0.294671 1.76304
13 -1.00764 0.0392169 0.0961562 1.01298
14 -0.222189 -15.3537 -3.00576 15.6467
14 0.0023549 -0.9921 -0.163754 1.00553
14 0.503574 -3.14977 0.607215 3.24705
14 0.185902 -1.48189 0.363513 1.53711
14 -5.29529 8.51244 -0.127894 10.0259
14 -3.25402 5.35254 -0.165145 6.26623
14 -15.0322 0.757486 4.19359 15.6246
14 -2.56209 0.138966 0.772008 2.67948
14 2.89623 0.183651 -0.0517059 2.90251
14 1.48484 0.151096 0.0517631 1.4934
15 -9.07991 -12.1119 -0.927365 15.1658
15 -0.878797 -1.2311 -0.116678 1.51707
15 11.6871 3.30089 3.1396 12.5435
15 1.18582 0.36402 0.286902 1.27318
15 -1.74147 -2.45478 0.183966 3.01538
15 -0.964129 -1.23192 0.159522 1.57246
15 -0.78339 -1.65698 -0.456111 1.88874
15 -0.0858296 -0.304005 -0.0988884 0.331005
15 1.22449 6.0165 0.518566 6.1617
15 0.994819 5.44195 0.402158 5.54673
16 -4.47684 0.488707 -0.433593 4.52426
16 -2.79 0.279698 -0.374247 2.82885
16 -12.2044 4.91773 3.5106 13.6182
16 -5.36473 2.24565 1.5979 6.0313
16 -5.6092 16.094 3.16826 17.3355
16 -0.556423 1.63877 0.280404 1.75322
16 -15.8931 -1.7359 -3.32696 16.3301
16 -1.95061 -0.235973 -0.451324 2.016
16 3.5037 -14.3415 0.546328 14.7734
16 0.860747 -3.44725 0.0677473 3.55373
17 1.08479 0.684735 0.0259455 1.28309
