year,month,tsi_1au_mean_Wm2,tsi_ndays,co2_ppm
2021,01,1361.7644,25,415.49
2021,02,1361.6892,28,416.72
2021,03,1361.7192,29,417.61
2021,04,1361.6750,28,419.01
2021,05,1361.6711,26,419.09
2021,06,1361.7667,29,418.93
2021,07,1361.9149,17,416.90
2021,08,1361.8341,31,414.42
2021,09,1361.7733,26,413.26
2021,10,1361.8367,28,413.90
2021,11,1361.9077,25,414.97
2021,12,1361.8850,19,416.67
2022,01,1361.9415,24,418.13
2022,02,1362.1179,27,419.24
2022,03,1362.0471,30,418.76
2022,04,1362.1956,27,420.19
2022,05,1362.3041,26,420.97
2022,06,1362.4195,24,420.94
2022,07,1362.2830,24,418.85
2022,08,1362.2275,30,417.15
2022,09,1362.3996,29,415.91
2022,10,1362.4813,27,415.74
2022,11,1362.4715,20,417.47
2022,12,1362.1830,24,418.99
2023,01,1362.4658,21,419.47
2023,02,1362.5752,25,420.31
2023,03,1362.7454,27,421.00
2023,04,1362.7301,28,423.30
2023,05,1362.2560,25,424.01
2023,06,1362.6097,30,423.68
2023,07,1362.2798,26,421.83
2023,08,1362.6705,24,419.68
2023,09,1362.7128,27,418.50
2023,10,1362.9988,16,418.82
2023,11,1362.7632,23,420.46
2023,12,1362.6919,20,421.86
2024,01,1362.7354,23,422.80
2024,02,1362.3717,27,424.55
2024,03,1362.6336,28,425.38
2024,04,1362.6782,29,426.51
2024,05,1362.1905,21,426.90
2024,06,1362.4764,26,426.91
2024,07,1362.7039,26,425.55
2024,08,1362.2695,30,422.99
2024,09,1363.1906,28,422.03
2024,10,1362.4924,30,422.38
2024,11,1362.7214,19,423.85
2024,12,1362.6453,23,425.40
2025,01,1362.6971,27,426.65
2025,02,1362.6425,27,427.09
2025,03,1362.9933,24,428.15
2025,04,1362.6892,28,429.64
2025,05,1362.2981,29,430.51
2025,06,1362.4364,30,429.61
2025,07,1362.6064,22,427.87
2025,08,1362.4506,31,425.48
2025,09,1362.4543,25,424.37
2025,10,1362.5410,29,424.87
2025,11,1362.7053,21,426.46
2025,12,1362.4350,23,427.49
2026,01,1362.3432,24,428.62
2026,02,1362.2488,24,429.35
2026,03,1362.2843,23,430.15
2026,04,1362.2222,28,431.12
2026,05,1362.3151,29,432.34
2026,06,1362.2240,29,431.44
2026,07,1362.2241,24,429.12

